#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-06-16 00:00:00+00:00 2018-09-15 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
CHD,2017-06-16 00:47,-111.8100,33.2700,104.00,1.40,2.19,220.00,8.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,104.00,KCHD 160047Z 22008KT 10SM CLR 40/M17 A2977
CHD,2017-06-16 01:47,-111.8100,33.2700,104.00,1.40,2.19,240.00,5.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,104.00,KCHD 160147Z 24005KT 10SM CLR 40/M17 A2978
CHD,2017-06-16 02:47,-111.8100,33.2700,100.40,10.40,3.68,290.00,8.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,100.40,KCHD 160247Z 29008KT 10SM CLR 38/M12 A2978
CHD,2017-06-16 03:47,-111.8100,33.2700,96.80,10.40,4.11,290.00,5.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,96.80,KCHD 160347Z 29005KT 10SM CLR 36/M12 A2979 RMK LAST
CHD,2017-06-16 12:47,-111.8100,33.2700,68.00,30.20,24.32,50.00,8.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KCHD 161247Z 05008KT 10SM CLR 20/M01 A2985
CHD,2017-06-16 13:47,-111.8100,33.2700,73.40,32.00,21.76,0.00,0.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KCHD 161347Z 00000KT 10SM CLR 23/00 A2987
CHD,2017-06-16 14:47,-111.8100,33.2700,80.60,30.20,15.94,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.60,KCHD 161447Z 00000KT 10SM CLR 27/M01 A2989
CHD,2017-06-16 15:47,-111.8100,33.2700,86.00,28.40,12.44,150.00,4.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.00,KCHD 161547Z 15004KT 10SM CLR 30/M02 A2989
CHD,2017-06-16 16:47,-111.8100,33.2700,89.60,23.00,8.87,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.60,KCHD 161647Z 00000KT 10SM CLR 32/M05 A2989
CHD,2017-06-16 17:47,-111.8100,33.2700,95.00,30.20,10.09,0.00,0.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,95.00,KCHD 161747Z 00000KT 10SM CLR 35/M01 A2988
CHD,2017-06-16 18:47,-111.8100,33.2700,98.60,19.40,5.76,180.00,5.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,98.60,KCHD 161847Z 18005KT 10SM CLR 37/M07 A2986
CHD,2017-06-16 19:47,-111.8100,33.2700,102.20,19.40,5.17,270.00,5.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,102.20,KCHD 161947Z 27005KT 10SM CLR 39/M07 A2985
CHD,2017-06-16 21:47,-111.8100,33.2700,105.80,6.80,2.67,260.00,10.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,105.80,KCHD 162147Z 26010KT 10SM CLR 41/M14 A2980
CHD,2017-06-16 22:47,-111.8100,33.2700,107.60,6.80,2.53,240.00,6.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,107.60,KCHD 162247Z 24006KT 10SM CLR 42/M14 A2977
CHD,2017-06-16 23:47,-111.8100,33.2700,107.60,8.60,2.74,220.00,8.00,0.00,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,107.60,KCHD 162347Z 22008KT 10SM CLR 42/M13 A2975
CHD,2017-06-17 00:47,-111.8100,33.2700,105.80,8.60,2.89,240.00,12.00,0.00,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,105.80,KCHD 170047Z 24012KT 10SM CLR 41/M13 A2974
CHD,2017-06-17 01:47,-111.8100,33.2700,105.80,8.60,2.89,220.00,6.00,0.00,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,105.80,KCHD 170147Z 22006KT 10SM CLR 41/M13 A2974
CHD,2017-06-17 02:47,-111.8100,33.2700,98.60,15.80,4.93,240.00,7.00,0.00,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,98.60,KCHD 170247Z 24007KT 10SM CLR 37/M09 A2975
CHD,2017-06-17 04:00,-111.8100,33.2700,96.80,19.40,6.09,0.00,0.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,96.80,KCHD 170400Z 00000KT 10SM CLR 36/M07 A2976 RMK LAST
