#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-06-16 00:00:00+00:00 2018-09-15 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
GEU,2017-06-16 00:47,-112.2951,33.5269,107.60,21.20,4.76,210.00,8.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,107.60,KGEU 160047Z 21008KT 10SM SKC 42/M06 A2978
GEU,2017-06-16 01:47,-112.2951,33.5269,105.80,21.20,5.01,190.00,10.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,105.80,KGEU 160147Z 19010KT 10SM SKC 41/M06 A2978
GEU,2017-06-16 02:47,-112.2951,33.5269,96.80,15.80,5.21,0.00,0.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,96.80,KGEU 160247Z 00000KT 10SM SKC 36/M09 A2978 RMK LAST
GEU,2017-06-16 12:47,-112.2951,33.5269,69.80,32.00,24.59,360.00,5.00,0.00,29.86,M,10.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,69.80,KGEU 161247Z 36005KT 10SM FEW250 21/00 A2986 RMK FIRST
GEU,2017-06-16 13:47,-112.2951,33.5269,78.80,32.00,18.18,0.00,0.00,0.00,29.87,M,10.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,78.80,KGEU 161347Z 00000KT 10SM FEW250 26/00 A2987
GEU,2017-06-16 14:47,-112.2951,33.5269,84.20,30.20,14.18,50.00,5.00,0.00,29.89,M,10.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,84.20,KGEU 161447Z 05005KT 10SM FEW250 29/M01 A2989
GEU,2017-06-16 15:47,-112.2951,33.5269,87.80,30.20,12.64,0.00,0.00,0.00,29.89,M,10.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,87.80,KGEU 161547Z 00000KT 10SM FEW250 31/M01 A2989
GEU,2017-06-16 16:47,-112.2951,33.5269,93.20,30.20,10.67,0.00,0.00,0.00,29.89,M,10.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,93.20,KGEU 161647Z 00000KT 10SM FEW250 34/M01 A2989
GEU,2017-06-16 17:58,-112.2951,33.5269,98.60,17.60,5.33,M,3.00,0.00,29.87,M,10.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,98.60,KGEU 161758Z VRB03KT 10SM FEW250 37/M08 A2987
GEU,2017-06-16 18:47,-112.2951,33.5269,100.40,17.60,5.05,230.00,6.00,0.00,29.86,M,10.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,100.40,KGEU 161847Z 23006KT 10SM FEW250 38/M08 A2986
GEU,2017-06-16 19:47,-112.2951,33.5269,105.80,21.20,5.01,180.00,5.00,0.00,29.84,M,10.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,105.80,KGEU 161947Z 18005KT 10SM FEW250 41/M06 A2984
GEU,2017-06-16 20:47,-112.2951,33.5269,107.60,23.00,5.13,180.00,6.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,107.60,KGEU 162047Z 18006KT 10SM SKC 42/M05 A2982
GEU,2017-06-16 21:47,-112.2951,33.5269,109.40,23.00,4.87,190.00,10.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,109.40,KGEU 162147Z 19010KT 10SM SKC 43/M05 A2980
GEU,2017-06-16 22:47,-112.2951,33.5269,109.40,23.00,4.87,190.00,9.00,0.00,29.78,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,109.40,KGEU 162247Z 19009G16KT 10SM SKC 43/M05 A2978
GEU,2017-06-16 23:47,-112.2951,33.5269,109.40,23.00,4.87,180.00,11.00,0.00,29.75,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,109.40,KGEU 162347Z 18011G16KT 10SM SKC 43/M05 A2975
GEU,2017-06-17 00:47,-112.2951,33.5269,109.40,23.00,4.87,190.00,10.00,0.00,29.74,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,109.40,KGEU 170047Z 19010G18KT 10SM SKC 43/M05 A2974
GEU,2017-06-17 01:47,-112.2951,33.5269,107.60,23.00,5.13,170.00,8.00,0.00,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,107.60,KGEU 170147Z 17008KT 10SM SKC 42/M05 A2974
GEU,2017-06-17 02:47,-112.2951,33.5269,102.20,19.40,5.17,180.00,6.00,0.00,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,102.20,KGEU 170247Z 18006KT 10SM SKC 39/M07 A2974 RMK LAST
GEU,2017-06-17 13:47,-112.2951,33.5269,82.40,32.00,16.16,0.00,0.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.40,KGEU 171347Z 00000KT 10SM SKC 28/00 A2984 RMK FIRST
GEU,2017-06-17 14:47,-112.2951,33.5269,84.20,32.00,15.25,0.00,0.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,84.20,KGEU 171447Z 00000KT 10SM SKC 29/00 A2985
GEU,2017-06-17 15:47,-112.2951,33.5269,89.60,32.00,12.84,0.00,0.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.60,KGEU 171547Z 00000KT 10SM SKC 32/00 A2986
GEU,2017-06-17 16:47,-112.2951,33.5269,93.20,26.60,9.21,M,3.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,93.20,KGEU 171647Z VRB03KT 10SM SKC 34/M03 A2985
GEU,2017-06-17 17:47,-112.2951,33.5269,98.60,26.60,7.80,0.00,0.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,98.60,KGEU 171747Z 00000KT 10SM SKC 37/M03 A2984
GEU,2017-06-17 18:47,-112.2951,33.5269,100.40,30.20,8.56,M,5.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,100.40,KGEU 171847Z VRB05KT 10SM SKC 38/M01 A2983
