#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-06-16 00:00:00+00:00 2018-09-15 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
IWA,2017-06-16 00:47,-111.6555,33.3078,102.20,10.40,3.49,240.00,5.00,0.00,29.79,M,45.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,102.20,KIWA 160047Z 24005KT 45SM SKC 39/M12 A2979
IWA,2017-06-16 01:47,-111.6555,33.3078,102.20,6.80,2.97,0.00,0.00,0.00,29.80,M,45.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,102.20,KIWA 160147Z 00000KT 45SM SKC 39/M14 A2980
IWA,2017-06-16 02:47,-111.6555,33.3078,102.20,14.00,4.09,320.00,5.00,0.00,29.81,M,45.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,102.20,KIWA 160247Z 32005KT 45SM SKC 39/M10 A2981
IWA,2017-06-16 03:48,-111.6555,33.3078,91.40,17.60,6.66,0.00,0.00,0.00,29.82,M,20.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.40,KIWA 160348Z 00000KT 20SM SKC 33/M08 A2982
IWA,2017-06-16 04:47,-111.6555,33.3078,87.80,19.40,8.06,0.00,0.00,0.00,29.84,M,45.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.80,KIWA 160447Z 00000KT 45SM SKC 31/M07 A2984
IWA,2017-06-16 05:47,-111.6555,33.3078,78.80,24.80,13.54,0.00,0.00,0.00,29.84,M,45.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,KIWA 160547Z 00000KT 45SM SKC 26/M04 A2984
IWA,2017-06-16 07:15,-111.6555,33.3078,77.00,26.60,15.48,120.00,4.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,KIWA 160715Z AUTO 12004KT 10SM CLR 25/M03 A2983 RMK AO2
IWA,2017-06-16 07:35,-111.6555,33.3078,73.40,21.20,13.93,110.00,5.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KIWA 160735Z AUTO 11005KT 10SM CLR 23/M06 A2983 RMK AO2
IWA,2017-06-16 07:55,-111.6555,33.3078,73.40,17.60,11.94,120.00,5.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KIWA 160755Z AUTO 12005KT 10SM CLR 23/M08 A2984 RMK AO2
IWA,2017-06-16 08:15,-111.6555,33.3078,71.60,19.40,13.71,120.00,6.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KIWA 160815Z AUTO 12006KT 10SM CLR 22/M07 A2984 RMK AO2
IWA,2017-06-16 08:35,-111.6555,33.3078,69.80,23.00,16.98,140.00,6.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KIWA 160835Z AUTO 14006KT 10SM CLR 21/M05 A2984 RMK AO2
IWA,2017-06-16 08:55,-111.6555,33.3078,69.80,28.40,21.24,140.00,8.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KIWA 160855Z AUTO 14008KT 10SM CLR 21/M02 A2984 RMK AO2
IWA,2017-06-16 09:15,-111.6555,33.3078,71.60,23.00,15.97,110.00,8.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KIWA 160915Z AUTO 11008KT 10SM CLR 22/M05 A2984 RMK AO2
IWA,2017-06-16 09:35,-111.6555,33.3078,71.60,19.40,13.71,120.00,8.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KIWA 160935Z AUTO 12008KT 10SM CLR 22/M07 A2984 RMK AO2
IWA,2017-06-16 09:55,-111.6555,33.3078,71.60,17.60,12.69,120.00,7.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KIWA 160955Z AUTO 12007KT 10SM CLR 22/M08 A2984 RMK AO2
IWA,2017-06-16 10:15,-111.6555,33.3078,69.80,17.60,13.49,120.00,8.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KIWA 161015Z AUTO 12008KT 10SM CLR 21/M08 A2984 RMK AO2
IWA,2017-06-16 10:35,-111.6555,33.3078,69.80,17.60,13.49,120.00,8.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KIWA 161035Z AUTO 12008KT 10SM CLR 21/M08 A2984 RMK AO2
IWA,2017-06-16 10:55,-111.6555,33.3078,69.80,19.40,14.57,100.00,5.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KIWA 161055Z AUTO 10005KT 10SM CLR 21/M07 A2985 RMK AO2
IWA,2017-06-16 11:15,-111.6555,33.3078,68.00,12.20,11.34,90.00,5.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,KIWA 161115Z AUTO 09005KT 10SM CLR 20/M11 A2985 RMK AO2
IWA,2017-06-16 11:35,-111.6555,33.3078,69.80,10.40,9.84,100.00,6.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KIWA 161135Z AUTO 10006KT 10SM CLR 21/M12 A2985 RMK AO2
IWA,2017-06-16 11:47,-111.6555,33.3078,69.80,8.60,9.08,80.00,6.00,0.00,29.85,M,20.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KIWA 161147Z 08006KT 20SM SKC 21/M13 A2985
IWA,2017-06-16 12:49,-111.6555,33.3078,71.60,10.40,9.25,100.00,5.00,0.00,29.87,M,45.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,KIWA 161249Z 10005KT 45SM SKC 22/M12 A2987
IWA,2017-06-16 13:47,-111.6555,33.3078,73.40,23.00,15.03,110.00,6.00,0.00,29.88,M,35.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,KIWA 161347Z 11006KT 35SM SKC 23/M05 A2988
IWA,2017-06-16 14:47,-111.6555,33.3078,82.40,23.00,11.16,120.00,7.00,0.00,29.90,M,20.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.40,KIWA 161447Z 12007KT 20SM SKC 28/M05 A2990
IWA,2017-06-16 15:59,-111.6555,33.3078,89.60,21.20,8.22,0.00,0.00,0.00,29.91,M,45.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,89.60,KIWA 161559Z 00000KT 45SM SKC 32/M06 A2991
IWA,2017-06-16 16:48,-111.6555,33.3078,91.40,21.20,7.77,260.00,3.00,0.00,29.90,M,35.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.40,KIWA 161648Z 26003KT 35SM SKC 33/M06 A2990
IWA,2017-06-16 17:47,-111.6555,33.3078,93.20,23.00,7.92,M,5.00,0.00,29.90,M,20.00,M,FEW,M,M,M,20000.00,M,M,M,M,M,M,M,M,M,M,93.20,KIWA 161747Z VRB05KT 20SM FEW200 34/M05 A2990
IWA,2017-06-16 18:47,-111.6555,33.3078,98.60,24.80,7.24,260.00,5.00,0.00,29.88,M,30.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,98.60,KIWA 161847Z 26005KT 30SM SKC 37/M04 A2988
IWA,2017-06-16 19:52,-111.6555,33.3078,100.40,21.20,5.89,270.00,6.00,0.00,29.86,M,20.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,100.40,KIWA 161952Z 27006KT 20SM SKC 38/M06 A2986
